"ID","Title","Assigned To","Automation Type","Case Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Expected Result","Forecast","Goals","In Progress","Mission","Plan","Plan ID","Preconditions","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Section Hierarchy","Status","Steps","Steps","Steps (Actual Result)","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Status)","Steps (Step)","Template","Tested By","Tested On","Type","Version"
"T4123","Vytvoření dobropisu se změnou dodací adresy",""," None","","C1365","","","","","Jednoduché vytvoření dobropisu s jednoduchou změnou dodací adresy.","","","","","","","https://app.idoklad.cz/ProformaInvoice","Medium","","lenka Ertl - idoklad","","R79","Dobropis","1","","Lenka Ertl > Dobropis","Passed","1) Načtení a přihlášení se na stránce = https://app.idoklad.cz/ProformaInvoice
2) kolonka prodej - dobropis
3) nová
4) vytvoření dobropisu
5) změna dodací adresy
6) doplnění nové adresy do adresáře

","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:17 PM","Other",""
"T4124","Kontrola dobropisu zda je idokladu správně uvedená změněná dodací adresa",""," None","","C1366","","","","","V dobropisu je správně uvedená opravená dodací adresa.","","","","","","","https://app.idoklad.cz/ProformaInvoice","Medium","","lenka Ertl - idoklad","","R79","Dobropis","1","","Lenka Ertl > Dobropis","Passed","1) přihlášení se na web - https://app.idoklad.cz/ProformaInvoice
2) prodej - dobropis
3) klik na vytvořený dobropis = číslo dokladu
4) kontrola změněné dodací adresy

","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:17 PM","Other",""
"T4125","Kontrola dobropisu zda je správně uvedená změněná dodací adresa v pdf",""," None","","C1367","","","","","V dobropisu je správně uvedená změněná dodací adresa.","","","","","","","https://app.idoklad.cz/ProformaInvoice","Medium","","lenka Ertl - idoklad","","R79","Dobropis","1","","Lenka Ertl > Dobropis","Passed","1) načtení stránky a přihlášení - https://app.idoklad.cz/ProformaInvoice
2) Prodej - dobropis
3) export do pdf","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:17 PM","Other",""
"T4126","úprava již vytvořeného dopropisu, zrušení změněné dodací adresy",""," None","","C1368","","","","","V dobropisu je správně uvedená dodací adresa a zrušená jiná dodací adresa.","","","","","","","https://app.idoklad.cz/ProformaInvoice","Medium","","lenka Ertl - idoklad","","R79","Dobropis","1","","Lenka Ertl > Dobropis","Passed","1) přihlášení se na web - https://app.idoklad.cz/ProformaInvoice
2) prodej - dobropis
3) klik na vytvořenou fakturu = číslo dokladu
4) zrušení jiné dodací adresy

","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:18 PM","Other",""
"T4127","vytvoření vydané faktury se změnou dodací adresy",""," None","","C1376","","","","","Jednoduché vytvoření vydané faktury s jednoduchou změnou dodací adresy.","","","","","","","https://app.idoklad.cz/IssuedInvoice?page=1","Medium","","lenka Ertl - idoklad","","R79","Faktura vydaná","1","","Lenka Ertl > Faktura vydaná","Passed","1) přihlášení se na web - https://app.idoklad.cz/ProformaInvoice
2) prodej - faktury vydané
3) vytvoření faktury
4) upravit odběratele

","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:18 PM","Other",""
"T4128","kontrola vydané faktury zda je v idokladu správně uvedená změněná dodací adresa",""," None","","C1382","","","","","Ve vydaných fakturách je správně uvedená opravená dodací adresa.","","","","","","","https://app.idoklad.cz/ProformaInvoice","Medium","","lenka Ertl - idoklad","","R79","Faktura vydaná","1","","Lenka Ertl > Faktura vydaná","Passed","1) přihlášení se na web - https://app.idoklad.cz/ProformaInvoice
2) prodej - vydané faktury
3) klik na vytvořený dobropis = číslo dokladu
4) kontrola změněné dodací adresy

","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:18 PM","Other",""
"T4129","kontrola vydané faktury v pdf - zda adresa byla změněna",""," None","","C1384","","","","","Ve vydané faktuře je správně uvedená změněná dodací adresa.","","","","","","","https://app.idoklad.cz/ProformaInvoice","Medium","","lenka Ertl - idoklad","","R79","Faktura vydaná","1","","Lenka Ertl > Faktura vydaná","Passed","1) načtení stránky a přihlášení - https://app.idoklad.cz/ProformaInvoice
2) Prodej - vydaná faktura
3) export do pdf","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:18 PM","Other",""
"T4130","Zrušení změněné dodací adresy ve vydané faktuře",""," None","","C1385","","","","","Ve vydané faktuře je správně uvedená dodací adresa a zrušená jiná dodací adresa.","","","","","","","https://app.idoklad.cz/ProformaInvoice

","Medium","","lenka Ertl - idoklad","","R79","Faktura vydaná","1","","Lenka Ertl > Faktura vydaná","Passed","1) přihlášení se na web - https://app.idoklad.cz/ProformaInvoice
2) prodej - vydaná faktura
3) klik na vytvořenou fakturu = číslo dokladu
4) zrušení jiné dodací adresy","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:18 PM","Other",""
"T4134","vytvoření dodací adresy v adresáři",""," None","","C1393","","","","","Jednoduché a bezproblémové doplnění nové dodací adresy.","","","","","","","https://app.idoklad.cz/Contact","Medium","","lenka Ertl - idoklad","","R79","Adresář","1","","Lenka Ertl > Adresář","Passed","1) přihlásit se na web - https://app.idoklad.cz/Contact
2) klik na adresář = dodací adres
3) vybrat firmu - upravit
4) dodací adresy - nová
5) doplnit údaje o další dodací adrese
6) uložit","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:20 PM","Other",""
"T4135","změna již ve vytvořené dodací adrese v adresáři",""," None","","C1397","","","","","Jednoduché a bezproblémové upravení nové dodací adresy.","","","","","","","https://app.idoklad.cz/Contact","Medium","","lenka Ertl - idoklad","","R79","Adresář","1","","Lenka Ertl > Adresář","Passed","1) přihlásit se na web - https://app.idoklad.cz/Contact
2) klik na adresář = dodací adresy
3) kliknout upravit = upravit potřebné
4) uložit
","","","","","","","","","Test Case (Text)","Johny Tester","2/24/2025 12:23 PM","Other",""
